cat_id;name
20148;Adults Jiu-Jitsu NoGi Men -69 kg
1529;Adults Jiu-Jitsu NoGi Men -69 kg
16042;Adults Jiu-Jitsu NoGi Men -77 kg
1530;Adults Jiu-Jitsu NoGi Men -77 kg
16043;Adults Jiu-Jitsu NoGi Men -85 kg
1531;Adults Jiu-Jitsu NoGi Men -85 kg
16044;Adults Jiu-Jitsu NoGi Men -94 kg
4338;Adults Jiu-Jitsu NoGi Men -94 kg
16045;Adults Jiu-Jitsu NoGi Men p94 kg
16033;Adults Jiu-Jitsu NoGi Women -45 kg
16034;Adults Jiu-Jitsu NoGi Women -48 kg
20145;Adults Jiu-Jitsu NoGi Women -52 kg
16035;Adults Jiu-Jitsu NoGi Women -52 kg
20146;Adults Jiu-Jitsu NoGi Women -57 kg
4339;Adults Jiu-Jitsu NoGi Women -57 kg
16036;Adults Jiu-Jitsu NoGi Women -57 kg
16037;Adults Jiu-Jitsu NoGi Women -63 kg
16038;Adults Jiu-Jitsu NoGi Women -70 kg
1540;Adults Jiu-Jitsu NoGi Women p70 kg
16032;Adults Jiu-Jitsu NoGi Women p70 kg
565;Adults Jiu-Jitsu Women -45 kg
1480;Adults Jiu-Jitsu Women -45 kg
4150;Adults Jiu-Jitsu Women -45 kg
1481;Adults Jiu-Jitsu Women -48 kg
16288;Adults Jiu-Jitsu Women -48 kg
25;Adults Jiu-Jitsu Women -49 kg
663;Adults Jiu-Jitsu Women -49 kg
1482;Adults Jiu-Jitsu Women -52 kg
26;Adults Jiu-Jitsu Women -55 kg
85;Adults Jiu-Jitsu Women -55 kg
86;Adults Jiu-Jitsu Women -55 kg
87;Adults Jiu-Jitsu Women -55 kg
664;Adults Jiu-Jitsu Women -55 kg
919;Adults Jiu-Jitsu Women -55 kg
1483;Adults Jiu-Jitsu Women -57 kg
20000;Adults Jiu-Jitsu Women -58 kg
27;Adults Jiu-Jitsu Women -62 kg
665;Adults Jiu-Jitsu Women -62 kg
16289;Adults Jiu-Jitsu Women -62 kg
1484;Adults Jiu-Jitsu Women -63 kg
14707;Adults Jiu-Jitsu Women -63 kg
28;Adults Jiu-Jitsu Women -70 kg
666;Adults Jiu-Jitsu Women -70 kg
1485;Adults Jiu-Jitsu Women -70 kg
5653;Adults Jiu-Jitsu Women Open Weight
16575;Adults Jiu-Jitsu Women Open Weight
29;Adults Jiu-Jitsu Women p70 kg
667;Adults Jiu-Jitsu Women p70 kg
1486;Adults Jiu-Jitsu Women p70 kg
18484;Adults Jiu-Jitsu Women p70 kg
1079;Adults Para Duo Mixed
4370;Adults Para Duo Mixed
4951;Adults Para Duo Mixed
1513;Adults Para Jiu-Jitsu Men -56 kg
4359;Adults Para Jiu-Jitsu Men -56 kg
349;Adults Para Jiu-Jitsu Men -62 kg
1514;Adults Para Jiu-Jitsu Men -62 kg
100002;Adults Para Jiu-Jitsu Men -62 kg
1515;Adults Para Jiu-Jitsu Men -69 kg
4350;Adults Para Jiu-Jitsu Men -69 kg
918;Adults Para Jiu-Jitsu Men -77 kg
921;Adults Para Jiu-Jitsu Men -77 kg
1516;Adults Para Jiu-Jitsu Men -77 kg
4351;Adults Para Jiu-Jitsu Men -77 kg
4952;Adults Para Jiu-Jitsu Men -77 kg
5646;Adults Para Jiu-Jitsu Men -77 kg
100001;Adults Para Jiu-Jitsu Men -77 kg
4352;Adults Para Jiu-Jitsu Men -85 kg
7101;Adults Para Jiu-Jitsu Men p94 kg
1520;Adults Para Jiu-Jitsu Women -45 kg
4357;Adults Para Jiu-Jitsu Women -70 kg
100000;Adults Para Jiu-Jitsu Women p70 kg
30;Adults Show Men
460;Adults Show Men
722;Adults Show Men
724;Adults Show Men
1398;Adults Show Men
1494;Adults Show Men
6857;Adults Show Men
32;Adults Show Mixed
463;Adults Show Mixed
1400;Adults Show Mixed
1495;Adults Show Mixed
21185;Adults Show Open
31;Adults Show Women
1399;Adults Show Women
1493;Adults Show Women
17090;Master M1 Fighting Men -62 kg
5669;Master M1 Fighting Men -62 kg
17091;Master M1 Fighting Men -69 kg
5670;Master M1 Fighting Men -69 kg
999998;Master M1 Fighting Men -69 kg
17092;Master M1 Fighting Men -77 kg
5671;Master M1 Fighting Men -77 kg
6875;Master M1 Fighting Men -77 kg
999999;Master M1 Fighting Men -77 kg
17093;Master M1 Fighting Men -85 kg
5673;Master M1 Fighting Men -85 kg
6876;Master M1 Fighting Men -85 kg
17094;Master M1 Fighting Men -94 kg
5672;Master M1 Fighting Men -94 kg
6877;Master M1 Fighting Men -94 kg
17088;Master M1 Fighting Men p94 kg
5660;Master M1 Jiu-Jitsu Men -56 kg
5275;Master M1 Jiu-Jitsu Men -62 kg
5661;Master M1 Jiu-Jitsu Men -62 kg
5276;Master M1 Jiu-Jitsu Men -69 kg
5662;Master M1 Jiu-Jitsu Men -69 kg
6886;Master M1 Jiu-Jitsu Men -69 kg
6898;Master M1 Jiu-Jitsu Men -69 kg
5277;Master M1 Jiu-Jitsu Men -77 kg
5663;Master M1 Jiu-Jitsu Men -77 kg
6887;Master M1 Jiu-Jitsu Men -77 kg
5278;Master M1 Jiu-Jitsu Men -85 kg
5664;Master M1 Jiu-Jitsu Men -85 kg
6888;Master M1 Jiu-Jitsu Men -85 kg
6900;Master M1 Jiu-Jitsu Men -85 kg
7102;Master M1 Jiu-Jitsu Men -85 kg
5279;Master M1 Jiu-Jitsu Men -94 kg
5665;Master M1 Jiu-Jitsu Men -94 kg
6889;Master M1 Jiu-Jitsu Men -94 kg
5280;Master M1 Jiu-Jitsu Men p94 kg
5666;Master M1 Jiu-Jitsu Men p94 kg
6884;Master M1 Jiu-Jitsu Men p94 kg
5556;Master M1 Jiu-Jitsu Women -57 kg
5557;Master M1 Jiu-Jitsu Women -63 kg
6878;Master M1 Jiu-Jitsu Women p70 kg
17219;Master M1 Show Mixed
17105;Master M2 Fighting Men -69 kg
17106;Master M2 Fighting Men -77kg
17107;Master M2 Fighting Men -85 kg
6933;Master M2 Fighting Men -85 kg
17108;Master M2 Fighting Men -94 kg
17102;Master M2 Fighting Men p94 kg
6929;Master M2 Fighting Men p94 kg
17095;Master M2 Fighting Women p70 kg
5284;Master M2 Jiu-Jitsu Men -69 kg
6943;Master M2 Jiu-Jitsu Men -69 kg
5285;Master M2 Jiu-Jitsu Men -77 kg
5286;Master M2 Jiu-Jitsu Men -85 kg
6945;Master M2 Jiu-Jitsu Men -85 kg
5287;Master M2 Jiu-Jitsu Men -94 kg
6946;Master M2 Jiu-Jitsu Men -94 kg
6958;Master M2 Jiu-Jitsu Men -94 kg
5281;Master M2 Jiu-Jitsu Men p94 kg
6941;Master M2 Jiu-Jitsu Men p94 kg
6937;Master M2 Jiu-Jitsu Women -52 kg
5565;Master M2 Jiu-Jitsu Women -57 kg
17119;Master M3 Fighting Men -69 kg
6988;Master M3 Fighting Men -69 kg
17121;Master M3 Fighting Men -85 kg
6990;Master M3 Fighting Men -85 kg
17116;Master M3 Fighting Men p94 kg
6996;Master M3 Fighting Women -63 kg
17063;Master M3 Jiu-Jitsu Men -69 kg
17064;Master M3 Jiu-Jitsu Men -77 kg
7001;Master M3 Jiu-Jitsu Men -77 kg
5819;Master M3 Jiu-Jitsu Men -85 kg
17066;Master M3 Jiu-Jitsu Men -94 kg
17059;Master M3 Jiu-Jitsu Men p94 kg
17133;Master M4 Fighting Men -69 kg
7044;Master M4 Fighting Men -69 kg
17136;Master M4 Fighting Men -94 kg
7047;Master M4 Fighting Men -94 kg
